name,rating,votes,grade,type,height,pitches,safety,commitment,state,sub_area,photos,comments,near_grades,aid_grade
Table of Contents,2.9,27,5.10d,"['Trad', 'Alpine']",400,3,R,,California,Tuolumne Meadows,5,3,"['5.11c', '5.10c', '5.11a', '5.8', '5.10d', '5.11+', '5.9', '5.11c', '5.7', '5.6', '5.11a', '5.10c', '5.10b', '5.6', '5.7', '5.7', '5.10d', '5.7', '5.10d', '5.9', '5.7', '5.8', '5.10c', '5.10c', '5.10d', '5.13d', '5.10d', '5.10c', '5.10a', '5.7', '5.7']",
Turning Japanese,2.3,3,5.10d,"['Trad', 'Alpine']",300,3,,II,California,Tuolumne Meadows,0,0,"['5.11c', '5.10c', '5.11a', '5.8', '5.10d', '5.11+', '5.9', '5.11c', '5.7', '5.6', '5.11a', '5.10c', '5.10b', '5.6', '5.7', '5.7', '5.10d', '5.7', '5.10d', '5.9', '5.7', '5.8', '5.10c', '5.10c', '5.10d', '5.13d', '5.10d', '5.10c', '5.10a', '5.7', '5.7']",
Daddy's Little Girl,3.0,3,5.10d,"['Trad', 'Alpine']",100,1,,,California,Tuolumne Meadows,2,0,"['5.11c', '5.10c', '5.11a', '5.8', '5.10d', '5.11+', '5.9', '5.11c', '5.7', '5.6', '5.11a', '5.10c', '5.10b', '5.6', '5.7', '5.7', '5.10d', '5.7', '5.10d', '5.9', '5.7', '5.8', '5.10c', '5.10c', '5.10d', '5.13d', '5.10d', '5.10c', '5.10a', '5.7', '5.7']",
Miss Adventure,2.0,1,5.10d,"['Trad', 'Alpine']",130,1,R,,California,Tuolumne Meadows,0,0,"['5.11c', '5.10c', '5.11a', '5.8', '5.10d', '5.11+', '5.9', '5.11c', '5.7', '5.6', '5.11a', '5.10c', '5.10b', '5.6', '5.7', '5.7', '5.10d', '5.7', '5.10d', '5.9', '5.7', '5.8', '5.10c', '5.10c', '5.10d', '5.13d', '5.10d', '5.10c', '5.10a', '5.7', '5.7']",
Cross Reference,1.0,1,5.10d,"['Trad', 'Alpine']",160,1,R,,California,Tuolumne Meadows,0,0,"['5.11c', '5.10c', '5.11a', '5.8', '5.10d', '5.11+', '5.9', '5.11c', '5.7', '5.6', '5.11a', '5.10c', '5.10b', '5.6', '5.7', '5.7', '5.10d', '5.7', '5.10d', '5.9', '5.7', '5.8', '5.10c', '5.10c', '5.10d', '5.13d', '5.10d', '5.10c', '5.10a', '5.7', '5.7']",
Prints of Pleasure,1.0,1,5.10d,"['Sport', 'Alpine']",80,1,,,California,Tuolumne Meadows,0,0,"['5.11c', '5.10c', '5.11a', '5.8', '5.10d', '5.11+', '5.9', '5.11c', '5.7', '5.6', '5.11a', '5.10c', '5.10b', '5.6', '5.7', '5.7', '5.10d', '5.7', '5.10d', '5.9', '5.7', '5.8', '5.10c', '5.10c', '5.10d', '5.13d', '5.10d', '5.10c', '5.10a', '5.7', '5.7']",
Foolish Pleasures,2.0,1,5.11a,"['Trad', 'Alpine']",120,3,PG13,,California,Tuolumne Meadows,0,0,"['5.11c', '5.10c', '5.8', '5.10d', '5.10d', '5.11+', '5.9', '5.11c', '5.7', '5.6', '5.11a', '5.10c', '5.10b', '5.6', '5.7', '5.7', '5.10d', '5.7', '5.10d', '5.9', '5.7', '5.8', '5.10c', '5.10c', '5.10d', '5.13d', '5.10d', '5.10c', '5.10a', '5.7', '5.7']",
Black Angel,3.6,38,5.11a,"['Trad', 'Alpine']",65,1,,,California,Tuolumne Meadows,4,3,"['5.11c', '5.10c', '5.8', '5.10d', '5.10d', '5.11+', '5.9', '5.11c', '5.7', '5.6', '5.11a', '5.10c', '5.10b', '5.6', '5.7', '5.7', '5.10d', '5.7', '5.10d', '5.9', '5.7', '5.8', '5.10c', '5.10c', '5.10d', '5.13d', '5.10d', '5.10c', '5.10a', '5.7', '5.7']",
Dreams,2.0,1,5.11c,"['Trad', 'Alpine']",130,1,,,California,Tuolumne Meadows,0,0,"['5.10c', '5.11a', '5.8', '5.10d', '5.10d', '5.11+', '5.9', '5.11c', '5.7', '5.6', '5.11a', '5.10c', '5.10b', '5.6', '5.7', '5.7', '5.10d', '5.7', '5.10d', '5.9', '5.7', '5.8', '5.10c', '5.10c', '5.10d', '5.13d', '5.10d', '5.10c', '5.10a', '5.7', '5.7']",
Arch Rival,3.6,5,5.11c,"['Trad', 'Alpine']",200,2,,,California,Tuolumne Meadows,2,2,"['5.10c', '5.11a', '5.8', '5.10d', '5.10d', '5.11+', '5.9', '5.11c', '5.7', '5.6', '5.11a', '5.10c', '5.10b', '5.6', '5.7', '5.7', '5.10d', '5.7', '5.10d', '5.9', '5.7', '5.8', '5.10c', '5.10c', '5.10d', '5.13d', '5.10d', '5.10c', '5.10a', '5.7', '5.7']",
