name,rating,votes,grade,type,height,pitches,safety,commitment,state,sub_area,photos,comments,near_grades,aid_grade
Flakes - Who Needs Them?,1.0,4,5.11a,['Sport'],50,1,,,California,Mammoth Lakes Area,1,1,"['5.10a', '5.11b/c', '5.7', '5.10b', '5.10a', '5.10a', '5.11a', '5.10b', '5.4', '5.10c', '5.11a', '5.12', '5.10a', '5.9+', '5.11b', '5.10d', '5.8+', '5.11b', '5.10c', '5.11b/c', '5.11c', '5.10a', '5.8']",
El Nino,2.0,12,5.11a,['Sport'],40,1,,,California,Mammoth Lakes Area,1,1,"['5.10a', '5.11b/c', '5.7', '5.10b', '5.10a', '5.10a', '5.11a', '5.10b', '5.4', '5.10c', '5.11a', '5.12', '5.10a', '5.9+', '5.11b', '5.10d', '5.8+', '5.11b', '5.10c', '5.11b/c', '5.11c', '5.10a', '5.8']",
Heat Vampire,2.8,37,5.11a,['Sport'],50,1,,,California,Mammoth Lakes Area,2,1,"['5.10a', '5.11b/c', '5.7', '5.10b', '5.10a', '5.10a', '5.11a', '5.10b', '5.4', '5.10c', '5.11a', '5.12', '5.10a', '5.9+', '5.11b', '5.10d', '5.8+', '5.11b', '5.10c', '5.11b/c', '5.11c', '5.10a', '5.8']",
Nuclear Winter,2.6,13,5.11b,['Sport'],50,1,,,California,Mammoth Lakes Area,1,0,"['5.10a', '5.11b/c', '5.7', '5.10b', '5.10a', '5.11a', '5.10a', '5.11a', '5.10b', '5.4', '5.10c', '5.11a', '5.12', '5.10a', '5.9+', '5.10d', '5.8+', '5.11b', '5.10c', '5.11b/c', '5.11c', '5.10a', '5.8']",
Jam It,2.7,15,5.11b,['Sport'],50,1,,,California,Mammoth Lakes Area,1,2,"['5.10a', '5.11b/c', '5.7', '5.10b', '5.10a', '5.11a', '5.10a', '5.11a', '5.10b', '5.4', '5.10c', '5.11a', '5.12', '5.10a', '5.9+', '5.10d', '5.8+', '5.11b', '5.10c', '5.11b/c', '5.11c', '5.10a', '5.8']",
Banana Boy,2.3,16,5.11b/c,['Sport'],50,1,,,California,Mammoth Lakes Area,0,2,"['5.10a', '5.7', '5.10b', '5.10a', '5.11a', '5.10a', '5.11a', '5.10b', '5.4', '5.10c', '5.11a', '5.12', '5.10a', '5.9+', '5.11b', '5.10d', '5.8+', '5.11b', '5.10c', '5.11b/c', '5.11c', '5.10a', '5.8']",
One Eyed Jack,2.7,9,5.11b/c,['Sport'],50,1,,,California,Mammoth Lakes Area,2,3,"['5.10a', '5.7', '5.10b', '5.10a', '5.11a', '5.10a', '5.11a', '5.10b', '5.4', '5.10c', '5.11a', '5.12', '5.10a', '5.9+', '5.11b', '5.10d', '5.8+', '5.11b', '5.10c', '5.11b/c', '5.11c', '5.10a', '5.8']",
Tittytwister,2.4,5,5.11c,['Sport'],55,1,PG13,,California,Mammoth Lakes Area,0,1,"['5.10a', '5.11b/c', '5.7', '5.10b', '5.10a', '5.11a', '5.10a', '5.11a', '5.10b', '5.4', '5.10c', '5.11a', '5.12', '5.10a', '5.9+', '5.11b', '5.10d', '5.8+', '5.11b', '5.10c', '5.11b/c', '5.10a', '5.8']",
Hipster Dufus,2.3,3,5.12,['Sport'],55,1,PG13,,California,Mammoth Lakes Area,0,0,"['5.10a', '5.11b/c', '5.7', '5.10b', '5.10a', '5.11a', '5.10a', '5.11a', '5.10b', '5.4', '5.10c', '5.11a', '5.10a', '5.9+', '5.11b', '5.10d', '5.8+', '5.11b', '5.10c', '5.11b/c', '5.11c', '5.10a', '5.8']",
Exappeal,1.6,9,5.10b,['Sport'],60,1,,,California,Bear Crag,1,2,"['5.10c', '5.11a']",
Arete Already,2.4,14,5.10c,['Sport'],65,1,,,California,Bear Crag,0,1,"['5.10b', '5.11a']",
Little Walt,1.0,2,5.11a,['Sport'],65,1,,,California,Bear Crag,1,0,"['5.10c', '5.10b']",
Smoked Cake,2.0,2,5.11a,['Sport'],60,1,,,California,Bear Crag,1,0,"['5.12a', '5.12b', '5.11c', '5.12a']",
White African,2.0,1,5.11c,['Sport'],60,1,,,California,Bear Crag,0,0,"['5.12a', '5.11a', '5.12b', '5.12a']",
